infinitiv	tip	sigurnost	predlozeni_oblik
vučeti	-eti	proveri	vučeli
vučeti	-eti	proveri	vučele
zabarikadirati	-irati	visoka	zabarikadiram
zabarikadirati	-irati	visoka	zabarikadiraš
zabarikadirati	-irati	visoka	zabarikadira
zabarikadirati	-irati	visoka	zabarikadirate
zabarikadirati	-irati	visoka	zabarikadiraju
zabarikadirati	-irati	visoka	zabarikadiralo
zabarikadirati	-irati	visoka	zabarikadirale
zabarikadirati	-irati	visoka	zabarikadiraj
zabasati	-ati (palatalizacija?)	proveri	zabasam
zabasati	-ati (palatalizacija?)	proveri	zabasaš
zabasati	-ati (palatalizacija?)	proveri	zabasa
zabasati	-ati (palatalizacija?)	proveri	zabasamo
zabasati	-ati (palatalizacija?)	proveri	zabasate
zabasati	-ati (palatalizacija?)	proveri	zabasaju
zabasati	-ati (palatalizacija?)	proveri	zabasaj
zabasati	-ati (palatalizacija?)	proveri	zabasajte
zabasati	-ati (palatalizacija?)	proveri	zabašem
zabasati	-ati (palatalizacija?)	proveri	zabašeš
zabasati	-ati (palatalizacija?)	proveri	zabaše
zabasati	-ati (palatalizacija?)	proveri	zabašemo
zabasati	-ati (palatalizacija?)	proveri	zabašete
zabasati	-ati (palatalizacija?)	proveri	zabašu
zabasati	-ati (palatalizacija?)	proveri	zabaši
zabasati	-ati (palatalizacija?)	proveri	zabašite
zabasati	-ati (palatalizacija?)	proveri	zabasala
zabasati	-ati (palatalizacija?)	proveri	zabasale
zabataliti	-iti	visoka	zabatalim
zabataliti	-iti	visoka	zabatališ
zabataliti	-iti	visoka	zabatali
zabataliti	-iti	visoka	zabatalimo
zabataliti	-iti	visoka	zabatalite
zabataliti	-iti	visoka	zabatale
zabataliti	-iti	visoka	zabatalila
zabataliti	-iti	visoka	zabatalilo
zabataliti	-iti	visoka	zabatalili
zabataliti	-iti	visoka	zabatalile
zabati	-ati	visoka	zabam
zabati	-ati	visoka	zabaš
zabati	-ati	visoka	zaba
zabati	-ati	visoka	zabamo
zabati	-ati	visoka	zabate
zabati	-ati	visoka	zabaju
zabati	-ati	visoka	zabaj
zabati	-ati	visoka	zabajte
zabati	-ati	visoka	zabao
zabati	-ati	visoka	zabala
zabati	-ati	visoka	zabalo
zabati	-ati	visoka	zabali
zabati	-ati	visoka	zabale
zabatrgati	-ati (palatalizacija?)	proveri	zabatrgam
zabatrgati	-ati (palatalizacija?)	proveri	zabatrgaš
zabatrgati	-ati (palatalizacija?)	proveri	zabatrgamo
zabatrgati	-ati (palatalizacija?)	proveri	zabatrgate
zabatrgati	-ati (palatalizacija?)	proveri	zabatrgaju
zabatrgati	-ati (palatalizacija?)	proveri	zabatrgaj
zabatrgati	-ati (palatalizacija?)	proveri	zabatrgajte
zabatrgati	-ati (palatalizacija?)	proveri	zabatržem
zabatrgati	-ati (palatalizacija?)	proveri	zabatržeš
zabatrgati	-ati (palatalizacija?)	proveri	zabatrže
zabatrgati	-ati (palatalizacija?)	proveri	zabatržemo
zabatrgati	-ati (palatalizacija?)	proveri	zabatržete
zabatrgati	-ati (palatalizacija?)	proveri	zabatržu
zabatrgati	-ati (palatalizacija?)	proveri	zabatrži
zabatrgati	-ati (palatalizacija?)	proveri	zabatržite
zabatrgati	-ati (palatalizacija?)	proveri	zabatrgao
zabatrgati	-ati (palatalizacija?)	proveri	zabatrgala
zabatrgati	-ati (palatalizacija?)	proveri	zabatrgalo
zabatrgati	-ati (palatalizacija?)	proveri	zabatrgali
zabatrgati	-ati (palatalizacija?)	proveri	zabatrgale
zabašuriti	-iti	visoka	zabašuriš
zabašuriti	-iti	visoka	zabašurimo
zabašuriti	-iti	visoka	zabašurite
zabašuriti	-iti	visoka	zabašurio
zabašuriti	-iti	visoka	zabašurila
zabašuriti	-iti	visoka	zabašurilo
zabašuriti	-iti	visoka	zabašurile
zabeliti	-iti	visoka	zabelim
zabeliti	-iti	visoka	zabeliš
zabeliti	-iti	visoka	zabelimo
zabeliti	-iti	visoka	zabelite
zabeliti	-iti	visoka	zabelio
zabeliti	-iti	visoka	zabelilo
